100	100	85	85	12	23	100	88	100	100	100	96	100	100	98	100	100	100	98	94	100	100	100	100	100	69	94	100	100	100	100	100	100	100	100	100	100	63	100	84	91	100	91	92	100	100	56	99	85	62	87	32	100	100	99	100	50	97	75	100	100	91	100	98	98	78	100	76	88	87	99	100	100	85	65	
99	100	89	85	15	18	99	88	99	99	99	89	99	99	98	99	99	99	96	95	96	99	99	99	99	65	96	99	99	99	99	99	99	99	99	99	99	60	99	80	90	99	96	92	99	99	48	98	85	50	80	33	99	98	97	99	41	95	71	99	99	90	99	99	98	65	99	74	86	83	97	96	99	85	60	
66	66	100	65	13	14	66	59	66	66	66	61	66	66	65	66	66	66	63	62	65	65	66	66	66	45	62	66	66	66	66	66	66	66	66	66	66	45	66	53	61	66	60	59	66	66	39	63	55	33	59	18	66	66	59	66	36	64	43	66	66	53	66	64	64	50	65	40	53	60	62	66	66	55	37	
46	46	44	100	9	7	46	41	46	46	46	41	46	46	45	46	46	46	46	45	45	46	46	46	46	25	46	46	46	46	46	46	46	46	46	46	46	32	46	38	42	46	43	45	46	46	28	45	40	23	42	13	46	46	42	46	21	45	37	46	46	39	46	46	45	30	46	37	42	39	45	44	46	40	22	
4	4	4	2	100	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	4	4	4	4	2	4	4	2	4	4	4	4	4	2	4	2	2	2	0	4	4	3	4	3	4	4	4	4	4	4	4	4	2	4	3	3	4	4	4	4	4	1	
10	10	10	6	0	100	11	8	10	10	10	10	10	10	10	10	10	10	10	10	10	9	10	10	10	7	10	10	10	10	10	10	10	10	10	10	10	7	10	9	9	10	10	10	10	10	5	10	9	4	10	1	10	10	9	10	4	10	6	10	10	8	10	10	10	6	10	5	10	8	10	10	10	9	6	
100	100	82	86	14	23	100	86	100	100	100	91	100	100	99	100	100	100	99	90	100	98	100	100	100	68	94	100	100	100	100	100	100	100	100	100	100	66	100	81	89	100	96	95	100	100	55	98	82	58	84	25	100	100	88	100	52	99	62	100	100	84	100	99	96	69	98	71	92	81	95	98	99	88	56	
79	79	70	68	11	11	79	100	79	79	79	73	79	79	79	79	79	79	78	78	78	78	79	79	79	58	73	79	79	80	79	79	79	79	79	79	79	50	79	66	71	79	75	74	79	79	45	79	68	44	73	18	80	79	75	79	36	78	53	79	79	71	80	79	77	49	79	60	70	70	78	78	79	60	49	
99	99	86	84	10	26	99	89	100	99	99	90	99	99	99	99	99	99	96	94	98	99	99	99	99	74	92	99	99	99	99	99	99	99	99	99	99	66	99	82	88	99	95	89	99	99	58	98	82	55	90	31	99	98	94	99	51	97	74	99	98	82	99	99	97	63	99	69	85	86	92	98	99	78	58	
100	100	88	87	14	16	100	90	100	100	100	91	100	100	99	100	100	100	100	96	100	99	100	100	100	66	95	100	100	100	100	100	100	99	100	100	100	66	100	75	90	100	100	94	100	100	55	99	85	56	86	20	100	100	93	100	40	99	68	100	100	90	99	98	98	61	100	77	86	90	95	98	100	85	64	
100	100	85	88	15	21	100	90	100	100	100	95	100	100	100	100	100	100	99	98	98	100	100	100	100	71	97	100	100	100	100	100	100	99	100	100	100	69	100	81	89	100	94	92	100	100	55	99	88	58	89	22	100	100	94	100	51	100	63	100	100	88	100	100	98	62	100	80	84	88	95	100	100	79	55	
76	76	61	64	5	13	76	64	76	76	76	100	76	76	75	77	76	76	76	74	74	75	76	76	76	48	70	76	76	76	76	76	76	76	76	76	76	50	76	61	69	76	73	71	76	75	39	76	63	45	66	20	76	75	73	76	38	73	50	76	76	71	76	75	75	46	76	62	65	63	73	74	76	71	44	
100	100	87	90	7	13	100	80	100	100	100	92	100	100	98	100	100	100	99	98	99	98	100	100	100	73	94	100	100	100	100	100	100	100	100	100	100	66	100	84	89	100	96	94	100	100	58	99	85	56	82	31	100	99	95	100	35	98	77	100	100	89	100	100	99	70	99	80	89	85	97	95	100	90	51	
100	100	91	86	12	20	100	88	100	100	100	95	100	100	100	100	100	100	98	93	99	98	100	100	100	75	96	100	100	100	100	100	100	100	100	100	100	61	100	78	92	100	96	89	100	100	56	99	80	63	84	26	100	100	93	100	39	96	72	99	100	85	100	100	97	61	100	74	88	86	94	94	99	81	49	
95	95	78	82	8	20	95	86	95	95	95	92	95	95	100	95	95	95	94	93	93	94	95	95	95	63	94	95	95	95	95	95	95	95	95	95	95	62	95	78	86	95	92	93	95	95	53	95	82	52	78	20	95	95	92	95	57	95	66	95	95	81	95	93	95	69	95	75	85	81	91	90	95	83	54	
97	97	88	86	9	20	97	82	97	97	97	86	97	97	97	100	99	97	94	92	96	97	97	97	97	62	95	97	97	97	97	97	97	97	97	97	97	69	97	79	85	97	96	94	97	97	57	97	88	48	88	18	97	97	91	97	50	95	69	97	97	85	97	95	97	50	97	82	88	84	92	93	96	84	59	
100	100	88	81	10	14	100	91	100	100	100	92	100	100	100	100	100	100	98	97	97	100	100	100	100	68	96	100	100	100	100	100	100	100	100	100	100	66	100	86	87	100	98	96	100	100	59	98	84	58	88	26	100	98	97	100	48	97	66	100	99	79	100	99	97	71	100	73	89	80	87	96	100	84	53	
100	100	88	82	13	10	100	86	100	100	100	93	100	100	98	100	100	100	100	97	99	99	100	100	100	67	96	100	100	100	100	100	100	100	100	100	100	63	100	85	92	100	95	91	100	99	55	99	89	58	76	23	100	100	96	100	49	99	72	100	100	81	100	99	98	72	99	77	86	88	94	99	100	80	73	
93	93	79	77	14	20	93	77	93	93	93	85	93	93	93	93	93	93	100	86	92	93	93	93	93	60	86	93	93	93	93	93	93	92	93	93	93	58	93	70	86	93	88	87	93	94	56	91	73	58	83	22	93	91	91	93	36	91	65	93	93	77	93	92	88	62	93	68	86	72	84	90	91	82	46	
89	89	69	80	8	15	89	73	89	89	89	80	89	89	84	89	89	89	88	100	88	90	89	89	89	65	85	89	89	89	89	89	89	88	89	89	89	53	89	74	80	89	87	82	89	89	52	85	75	54	77	23	89	89	87	89	45	87	67	89	89	75	89	89	87	53	88	66	81	80	87	85	89	77	54	
97	96	81	82	7	18	97	87	97	97	97	91	97	97	95	97	97	97	96	91	100	96	97	97	97	65	92	97	97	97	97	97	97	96	97	97	97	66	97	85	87	97	90	87	97	97	63	95	78	65	90	19	97	97	93	97	47	96	75	97	97	86	97	96	93	66	96	74	86	90	93	95	97	76	52	
87	87	72	71	8	17	87	79	87	87	87	81	87	87	85	87	87	87	87	85	85	100	87	87	87	61	80	87	87	87	87	87	87	87	87	88	87	56	87	68	77	87	78	79	87	87	49	87	75	52	76	30	87	86	82	87	45	85	55	87	87	77	87	84	85	58	86	64	82	76	86	86	89	77	52	
100	100	92	86	15	5	100	91	100	100	100	85	100	100	99	100	100	100	100	98	100	99	100	100	100	79	97	100	100	100	100	100	100	100	100	100	100	61	100	81	92	100	97	93	100	100	59	98	83	50	88	28	100	100	97	100	52	96	71	100	100	92	100	100	98	68	100	77	79	91	95	99	100	86	54	
100	100	83	85	13	16	100	82	100	100	100	95	100	100	99	100	100	100	99	95	97	99	100	100	100	61	95	100	100	100	100	100	100	100	100	100	100	72	100	84	89	100	98	97	100	100	59	98	85	58	90	25	99	99	98	100	45	98	76	100	100	85	100	99	100	63	100	77	79	92	96	95	99	83	54	
