0	ADM	1480
1	ADM	689
2	ADM	161
3	ADM	163
4	ADM	12
5	ADM	18
6	ADM	1242
7	ADM	289
8	MED	957
9	MED	2045
10	MED	1296
11	MED	236
12	MED	2849
13	MED	1582
14	MED	444
15	MED	1798
16	MED	2075
17	MED	1333
18	MED	404
19	NUR	288
20	NUR	373
21	NUR	430
22	NUR	1711
23	NUR	1335
24	NUR	4286
25	NUR	93
26	NUR	249
27	NUR	1934
28	NUR	2109
29	NUR	1279
30	NUR	1227
31	NUR	2236
32	NUR	1501
33	NUR	763
34	NUR	1105
35	NUR	3130
36	NUR	4077
37	NUR	133
38	NUR	848
39	NUR	228
40	NUR	202
41	NUR	3695
42	NUR	481
43	NUR	446
44	NUR	1366
45	NUR	1075
46	PAT	63
47	PAT	367
48	PAT	149
49	PAT	67
50	PAT	155
51	PAT	21
52	PAT	849
53	PAT	445
54	PAT	244
55	PAT	1113
56	PAT	46
57	PAT	367
58	PAT	90
59	PAT	802
60	PAT	624
61	PAT	153
62	PAT	603
63	PAT	389
64	PAT	322
65	PAT	84
66	PAT	488
67	PAT	116
68	PAT	172
69	PAT	164
70	PAT	281
71	PAT	306
72	PAT	460
73	PAT	174
74	PAT	61
